,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,MedianAge,MedianHouseholdIncome,MeanHouseholdIncome,PercentBachDegHghr
135,Nevada,Grass Valley,34,7.2,7.2,9.6,8.3,34,7.2,5.8,9.6,6.7,34,7.2,5.0,9.6,6.1,34,7.2,4.4,9.6,6.0,34,7.2,4.2,9.6,5.9,35,7.2,3.4,9.6,4.7,36,7.2,3.0,9.6,4.0,12860,5672,7188,43.2,37.1,48.1,2.04,2.78,753,2625,9731,4605,3775,3024,55.90,20.40,12860,12363,11493,46,208,188,49,52,21,17,5,7,37,9,3,0,0,6,419,12401,6077,1665,3089,2390,515,167,1055,499,48.5,57353.0,75824.0,32.3
136,Monterey,Greenfield,40,3.0,2.7,11.6,11.7,40,3.0,2.6,11.6,11.6,40,2.3,2.1,8.7,10.5,40,2.3,2.3,8.7,11.5,40,2.3,2.2,8.7,10.7,40,2.3,2.4,8.7,11.8,0,,,,,16330,8548,7782,25.5,25.1,26.0,4.71,4.72,1898,5843,9526,1734,1137,775,47.70,35.80,16330,15682,5976,183,878,179,21,10,122,2,11,2,11,13,2,1,0,10,8453,16301,3460,2273,6277,4577,2992,1065,1299,273,33.0,59168.0,79378.0,23.0
137,Santa Barbara,Guadalupe,44,5.0,5.5,33.3,30.5,44,5.0,4.7,33.3,23.7,44,5.0,4.6,33.3,23.2,44,5.0,4.2,33.3,25.2,44,5.0,4.2,33.3,25.9,44,5.0,4.7,33.3,30.3,44,5.0,5.7,33.3,37.1,7080,3562,3518,28.2,26.6,29.3,3.91,4.11,676,2424,4274,1124,805,567,49.70,34.20,7080,6639,3395,74,103,279,0,11,211,45,3,0,9,5,0,2,3,0,2783,7080,1810,1005,2821,1952,987,409,457,153,33.5,62779.0,88230.0,31.3
138,San Mateo,Half Moon Bay,37,9.4,10.9,24.7,26.9,37,9.4,10.1,24.7,26.4,37,9.4,8.6,24.7,25.2,38,9.4,8.3,24.7,22.9,38,9.4,8.8,24.7,23.4,38,9.4,8.0,24.7,20.9,38,9.4,8.5,24.7,21.3,11324,5521,5803,43.2,41.3,45.1,2.72,3.24,717,2533,8465,3519,2620,1764,51.20,22.40,11324,10942,8580,82,71,490,33,119,179,76,17,19,47,9,0,2,1,6,1710,11306,4149,2373,3057,2165,903,273,824,249,39.3,88202.0,126129.0,44.4
139,Los Angeles,Hawaiian Gardens,37,3.7,4.1,17.7,17.1,37,3.7,2.6,17.7,10.6,37,3.7,2.1,17.7,8.6,37,3.7,2.8,17.7,11.0,37,3.7,3.4,17.7,13.1,37,3.7,3.2,17.7,11.9,37,3.7,3.0,17.7,11.4,14254,7107,7147,28.4,27.0,30.2,4.0,4.33,1282,4576,8881,2265,1658,1126,50.10,32.10,14254,13700,6477,546,178,1513,49,135,297,28,743,51,210,57,15,8,28,6,4929,14238,3562,1819,5239,3399,2503,1036,1115,237,35.1,55909.0,81416.0,29.7
140,Los Angeles,Hawthorne,34,5.2,4.6,24.2,20.3,34,5.2,3.9,24.2,16.7,34,5.2,3.5,24.2,15.3,34,5.2,3.2,24.2,14.6,34,5.2,3.3,24.2,14.1,39,5.2,3.3,24.2,14.2,39,5.2,3.1,24.2,12.2,84293,40672,43621,31.5,30.5,32.4,2.94,3.54,6764,23157,57251,13546,9393,6219,51.70,27.50,84293,80371,27678,23385,565,5642,519,412,2317,339,308,1058,689,974,51,33,123,767,22127,83754,28486,10833,28744,19428,10035,3360,5656,2500,35.1,55909.0,81416.0,29.7
141,Alameda,Hayward,38,7.0,6.4,14.7,12.9,38,7.0,5.2,14.7,10.5,38,7.0,4.5,14.7,9.8,38,7.0,4.6,14.7,10.9,38,7.0,4.1,14.7,9.5,38,7.0,4.0,14.7,9.2,38,7.0,3.8,14.7,8.6,144186,71143,73043,33.5,32.6,34.4,3.12,3.6,10774,35379,101909,29436,21176,14642,50.70,24.50,144186,134009,49309,17099,1396,31666,4260,5607,15058,715,662,3416,1948,4535,261,271,673,3330,30004,141462,45365,21720,43961,29010,18890,5524,11526,3458,36.8,72112.0,96982.0,41.8
142,Riverside,Hemet,36,7.0,5.5,25.8,19.9,36,7.0,5.0,25.8,18.3,36,7.0,4.4,25.8,17.7,36,7.0,4.1,25.8,19.6,36,7.0,4.0,25.8,17.8,36,7.0,3.9,25.8,17.8,36,7.0,3.9,25.8,18.2,78657,37024,41633,39.0,36.5,41.1,2.59,3.24,5692,20340,55204,25695,21753,17404,52.90,25.90,78657,74538,53259,5049,1223,2352,176,227,1233,137,78,166,335,284,72,61,82,69,12371,78043,30092,13174,23256,17220,6519,2612,5002,2210,33.9,56529.0,73752.0,20.5
143,San Bernardino,Hesperia,39,5.8,5.0,34.3,29.9,39,5.8,4.2,34.3,26.0,39,5.8,3.6,34.3,24.8,39,5.8,3.4,34.3,31.0,39,5.8,3.3,34.3,26.7,39,5.8,3.0,34.3,24.8,39,5.8,3.0,34.3,20.4,90173,44740,45433,30.5,29.4,31.5,3.41,3.76,7604,29156,56391,16569,11941,8152,50.40,32.30,90173,85742,55129,5226,1118,1884,194,129,604,143,249,309,256,270,78,35,95,62,22115,90145,26431,14797,32999,23642,10467,4718,5451,2179,31.9,54090.0,69091.0,18.7
144,San Bernardino,Highland,34,4.0,3.8,46.0,40.9,34,4.0,3.4,46.0,36.7,34,4.0,2.5,46.0,26.5,34,4.0,2.6,46.0,30.9,34,4.0,2.6,46.0,28.7,34,4.0,2.5,46.0,27.2,34,4.0,2.6,46.0,16.3,53104,25879,27225,30.6,29.3,31.8,3.42,3.74,4456,16916,33429,9094,6223,4094,51.30,31.90,53104,50213,27836,5887,542,3954,328,302,1044,120,198,1222,740,168,28,20,80,40,11826,52932,15471,8475,19760,13956,6111,2587,3115,1238,31.9,54090.0,69091.0,18.7
145,San Mateo,Hillsborough,42,6.4,4.0,28.2,18.5,42,6.5,3.9,29.2,20.4,42,6.5,3.5,29.2,18.4,42,6.5,3.5,29.2,19.0,42,6.5,2.8,29.2,13.4,42,6.5,3.1,29.2,17.2,42,6.5,3.1,29.2,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,88202.0,126129.0,44.4
146,Humboldt,Humboldt-Unincorporated,45,6.1,3.4,30.5,16.2,45,6.1,3.1,30.5,14.9,45,6.1,2.9,30.5,15.0,45,6.1,2.8,30.5,17.3,45,6.1,2.8,30.5,14.6,46,6.1,2.7,30.5,13.8,46,6.1,2.7,30.5,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,41426.0,56127.0,27.5
147,Orange,Huntington Beach,46,10.4,5.5,31.2,15.6,47,10.4,5.3,31.2,14.8,47,10.4,4.6,31.2,13.6,47,10.4,4.9,31.2,15.4,47,10.4,4.7,31.2,13.9,47,10.4,4.6,31.2,13.5,47,10.4,4.8,31.2,14.0,189992,94260,95732,40.2,39.2,41.2,2.55,3.07,9665,39128,144206,50803,38504,26956,50.40,20.60,189992,181364,145661,1813,992,21070,967,3718,2474,2953,1610,7585,1763,635,183,105,195,152,11193,189102,74285,36729,51921,35157,10969,3188,15198,4890,36.4,75422.0,101134.0,36.8
148,Los Angeles,Huntington Park,40,5.4,4.2,29.5,20.1,39,5.4,4.1,29.5,19.3,40,5.4,4.2,29.5,21.1,40,5.4,4.2,29.5,18.4,40,5.4,3.9,29.5,16.2,40,5.4,3.8,29.5,16.8,40,5.4,3.8,29.5,16.1,58114,28996,29118,28.9,27.9,29.8,3.96,4.19,5088,18439,36470,8275,5737,3863,50.10,31.70,58114,55924,29776,440,752,393,45,38,187,13,19,48,43,28,11,5,7,5,24535,57859,14597,7461,22242,14576,9562,3471,3997,1458,35.1,55909.0,81416.0,29.7
149,Fresno,Huron,44,2.8,2.4,21.4,18.1,44,2.8,3.0,21.4,23.4,44,2.8,2.5,21.4,14.4,44,2.8,2.9,21.4,13.5,44,2.8,3.0,21.4,37.1,44,2.8,3.0,21.4,40.4,44,2.8,2.9,21.4,15.8,6754,3562,3192,24.7,24.6,24.9,4.41,4.47,779,2506,3848,724,494,332,47.30,37.10,6754,6452,2300,66,77,39,32,0,0,0,0,0,7,6,0,4,2,0,3964,6754,1532,813,2802,2093,1012,366,595,170,30.9,45563.0,63079.0,19.6
150,San Diego,Imperial Beach,36,4.0,3.0,38.6,27.5,35,4.0,2.5,38.6,23.2,36,4.0,2.5,38.6,23.8,36,4.0,3.1,38.6,31.4,37,4.0,3.2,38.6,29.4,37,4.0,2.8,38.6,26.4,37,4.0,2.9,38.6,23.6,26324,13234,13090,31.0,29.8,32.4,2.82,3.32,1982,6696,18120,4860,3420,2373,49.70,25.40,26324,24586,16467,1170,266,1731,40,46,1387,122,14,24,98,188,54,70,27,37,4764,25705,9112,3735,8062,5490,2648,993,2148,849,34.8,62962.0,84889.0,34.6
151,Imperial,Imperial Valley Resource Management Agency,41,7.9,5.8,24.3,18.3,41,7.9,5.1,24.3,16.2,41,7.9,3.9,24.3,12.8,41,7.9,5.0,24.3,18.3,41,7.9,4.8,24.3,15.4,40,7.9,3.6,24.3,11.2,40,7.9,4.5,24.3,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,41807.0,57847.0,13.3
152,Riverside,Indian Wells,42,21.5,14.2,25.5,14.9,42,21.5,15.0,25.5,15.6,42,21.5,12.5,25.5,14.2,42,21.5,11.3,25.5,14.2,41,21.5,10.2,25.5,12.4,42,21.5,9.5,25.5,12.6,42,21.5,10.5,25.5,15.5,4958,2272,2686,66.7,67.9,66.0,1.8,2.22,60,310,4613,3793,3345,2731,54.20,6.30,4958,4907,4721,29,20,83,11,21,26,12,7,4,2,2,1,0,0,1,52,4952,2745,1519,406,276,92,26,190,121,33.9,56529.0,73752.0,20.5
153,Riverside,Indio,42,7.5,6.9,31.9,31.2,44,8.7,5.6,35.6,26.9,44,8.7,4.6,35.6,23.9,44,8.7,4.7,35.6,25.8,44,8.7,4.6,35.6,24.7,45,8.7,4.6,35.6,25.0,46,8.7,3.6,35.6,21.5,76036,37495,38541,32.2,31.2,33.3,3.21,3.6,6471,22879,49870,16678,13075,9412,50.70,30.10,76036,73423,46735,1805,741,1693,166,223,765,112,101,151,175,55,21,12,3,19,22394,75087,23378,13149,25857,18841,8430,3488,4273,1886,33.9,56529.0,73752.0,20.5
154,Los Angeles,Industry,15,1296.6,909.6,16.0,11.0,15,1296.6,837.6,16.0,10.6,15,1296.6,683.8,16.0,9.7,15,1296.6,1064.2,16.0,9.3,15,1296.6,1274.9,16.0,10.4,15,1296.6,1251.9,16.0,9.5,15,1296.6,1141.2,16.0,9.1,219,114,105,37.5,35.0,39.5,3.1,3.58,9,59,147,40,30,22,47.90,26.90,219,211,129,1,0,18,0,17,1,0,0,0,0,0,0,0,0,0,63,214,69,37,81,52,19,6,8,5,35.1,55909.0,81416.0,29.7
155,Los Angeles,Inglewood,39,5.2,4.4,25.2,19.8,39,5.2,4.0,25.2,18.2,38,5.2,3.9,25.2,18.6,39,5.2,4.0,25.2,19.2,39,5.2,4.0,25.2,17.4,39,5.2,3.6,25.2,15.9,40,5.2,3.4,25.2,15.4,109673,52138,57535,33.4,31.6,35.0,2.97,3.59,8044,29293,75305,21402,15317,10256,52.50,26.70,109673,105171,25562,48164,751,1484,257,102,593,150,51,28,303,350,11,14,33,292,28860,108171,36389,13095,37240,23411,14423,5243,7024,2552,35.1,55909.0,81416.0,29.7
156,Inyo,Inyo Regional Waste Management Agency,39,5.7,5.9,14.4,14.2,38,5.7,5.1,14.4,12.2,38,5.7,4.2,14.4,10.0,38,5.7,7.5,14.4,21.0,37,5.7,7.8,14.4,19.5,37,5.7,6.3,14.4,15.7,37,5.7,6.0,14.4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,44796.0,61137.0,21.4
157,Orange,Irvine,39,10.1,8.8,9.3,8.2,39,10.1,6.8,9.3,6.6,39,10.1,5.5,9.3,5.9,39,10.1,5.7,9.3,6.6,39,10.1,5.6,9.3,6.0,39,10.1,5.5,9.3,5.8,40,10.1,5.7,9.3,6.2,212375,103434,108941,33.9,32.9,34.9,2.61,3.13,12005,45675,151405,39809,28047,18461,51.30,21.50,212375,200665,107215,3718,355,83176,10687,27362,6192,6474,18445,7882,6134,334,75,94,85,80,5867,205819,78978,40930,58259,43713,10383,1597,17269,3681,36.4,75422.0,101134.0,36.8
158,Los Angeles,Irwindale,22,249.5,143.5,19.4,12.4,22,249.5,143.5,19.4,13.0,23,249.5,135.3,19.4,13.0,23,249.5,130.9,19.4,10.7,23,249.5,137.5,19.4,10.8,23,249.5,130.4,19.4,9.7,23,249.5,113.5,19.4,9.8,1422,687,735,34.0,33.0,35.1,3.67,3.93,95,373,965,296,206,151,51.70,26.20,1422,1364,833,12,29,34,0,2,23,6,0,1,2,8,0,7,0,1,448,1372,374,189,475,274,241,87,93,33,35.1,55909.0,81416.0,29.7
159,Sacramento,Isleton,34,5.8,3.8,35.0,18.2,34,5.8,4.1,35.0,22.2,34,5.8,3.9,35.0,24.5,27,5.8,5.5,35.0,41.2,27,5.8,4.8,35.0,43.3,27,5.8,6.6,35.0,74.6,29,5.8,4.6,35.0,31.8,804,416,388,42.1,43.0,41.0,2.43,3.35,41,191,577,236,183,135,48.30,23.80,804,746,542,10,10,41,0,12,27,2,0,0,0,4,0,1,3,0,139,804,331,109,249,168,61,18,54,29,35.1,55064.0,72200.0,28.0
160,Fresno,Kerman,41,3.7,3.1,12.1,11.3,42,3.7,3.6,12.1,12.6,42,3.7,2.7,12.1,8.8,42,3.7,2.9,12.1,11.6,42,3.7,2.9,12.1,8.8,42,3.7,3.1,12.1,8.7,42,3.7,3.0,12.1,7.3,13544,6757,6787,28.2,27.6,28.8,3.67,3.97,1400,4648,8220,2089,1465,977,50.10,34.30,13544,12881,6860,68,173,1091,971,35,21,8,4,4,48,14,7,0,0,7,4675,13537,3692,2248,5424,3909,1627,685,546,310,30.9,45563.0,63079.0,19.6
161,,Kern-Unincorporated,39,7.6,7.1,24.2,20.7,39,7.6,6.2,24.2,18.2,39,7.6,5.5,24.2,16.0,39,7.6,5.8,24.2,19.8,39,7.6,5.7,24.2,16.8,39,7.6,5.5,24.2,15.1,39,7.6,5.4,24.2,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Monterey,King City,40,11.8,5.6,31.1,13.3,41,11.8,4.9,31.1,12.4,41,11.8,4.6,31.1,12.5,41,11.8,4.6,31.1,15.1,42,11.8,3.7,31.1,10.4,43,11.8,3.7,31.1,10.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,59168.0,79378.0,23.0
163,Kings,Kings Waste and Recycling Authority,37,4.4,4.5,15.9,15.3,39,4.4,4.0,15.9,13.9,39,4.4,3.6,15.9,13.2,39,4.4,3.4,15.9,14.2,39,4.4,3.6,15.9,13.3,39,4.4,3.5,15.9,12.5,39,4.4,3.0,15.9,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,48133.0,63130.0,12.9
164,Fresno,Kingsburg,34,5.2,5.8,14.1,13.6,34,5.2,6.2,14.1,14.5,37,5.2,4.4,14.1,11.6,37,5.2,5.1,14.1,15.1,37,5.2,4.7,14.1,12.9,37,5.2,3.7,14.1,9.9,37,5.2,4.4,14.1,13.6,11382,5482,5900,33.7,32.2,35.1,2.96,3.41,906,3368,7526,2543,1945,1454,51.80,29.60,11382,10894,8576,62,146,383,180,81,17,81,2,1,21,21,2,12,1,6,1706,11300,3822,2287,4050,3012,746,315,395,205,30.9,45563.0,63079.0,19.6
165,Los Angeles,La Canada Flintridge,40,8.9,5.6,36.6,21.3,40,8.9,5.3,36.6,19.3,40,8.9,4.2,36.6,15.0,42,8.9,4.3,36.6,16.1,42,8.9,4.4,36.6,15.2,42,8.9,4.1,36.6,13.9,42,8.9,4.5,36.6,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,55909.0,81416.0,29.7
166,Orange,La Habra,40,6.5,5.2,27.3,21.1,40,6.5,5.3,27.3,21.0,41,6.5,4.7,27.3,19.3,42,6.5,5.0,27.3,22.0,42,6.5,4.9,27.3,21.3,42,6.5,4.2,27.3,17.6,42,6.5,4.1,27.3,15.6,60239,29665,30574,33.6,32.2,35.0,3.16,3.58,4356,16062,41451,12274,9124,6549,50.80,26.70,60239,57683,35147,1025,531,5653,384,826,1137,352,2306,197,451,103,44,24,26,9,15224,59899,18977,10078,20335,13249,6524,2384,3985,1277,36.4,75422.0,101134.0,36.8
167,Los Angeles,La Habra Heights,32,7.1,7.2,126.0,97.1,32,7.1,5.7,126.0,77.7,32,7.1,4.3,126.0,61.4,32,7.1,4.7,126.0,53.9,32,7.1,4.8,126.0,55.1,32,7.1,6.5,126.0,81.1,33,7.1,5.7,126.0,76.7,5325,2651,2674,47.6,48.1,47.1,2.94,3.21,196,1019,4103,1908,1426,1036,50.20,19.10,5325,5108,3855,47,26,841,89,349,53,62,205,14,69,6,1,2,0,3,333,5305,1805,1289,1625,904,375,90,211,47,35.1,55909.0,81416.0,29.7
168,San Diego,La Mesa,42,6.2,4.8,13.8,10.0,42,6.2,3.6,13.8,7.5,42,6.2,3.6,13.8,8.0,42,6.2,4.1,13.8,10.5,42,6.2,3.4,13.8,7.9,42,6.2,2.8,13.8,6.8,42,6.2,3.5,13.8,8.3,57065,27163,29902,37.1,35.4,39.1,2.3,2.94,3623,11164,43738,14452,10912,8088,52.40,19.60,57065,53727,40964,4399,431,3289,206,588,994,328,186,567,420,318,36,149,92,41,4326,56408,24512,9330,13951,10010,3379,936,5236,1974,34.8,62962.0,84889.0,34.6
169,Los Angeles,La Mirada,34,5.2,5.0,14.6,12.8,34,5.2,4.5,14.6,11.6,34,5.2,3.7,14.6,10.4,34,5.2,3.6,14.6,10.3,34,5.2,4.5,14.6,13.9,34,5.2,4.3,14.6,12.9,33,5.2,4.2,14.6,12.7,48527,23280,25247,37.9,36.4,39.1,3.11,3.48,2488,10246,34680,12649,9764,7377,52.00,21.10,48527,46417,29462,1099,394,8650,532,829,2410,362,3671,319,527,142,28,30,45,39,6670,45670,14681,8971,14648,8330,4964,1704,2406,637,35.1,55909.0,81416.0,29.7
170,Orange,La Palma,32,5.1,3.9,15.7,9.5,32,5.1,3.1,15.7,7.5,31,5.1,3.5,15.7,9.1,32,5.1,3.2,15.7,8.9,32,5.1,3.0,15.7,7.9,32,5.1,3.0,15.7,7.6,32,5.1,3.1,15.7,6.9,15568,7521,8047,41.2,39.7,42.4,3.06,3.37,761,3423,11475,4416,3439,2477,51.70,22.00,15568,14904,5762,802,56,7483,842,1213,1447,695,2587,295,404,41,11,8,12,10,760,15548,5080,3331,5243,3055,1414,342,480,160,36.4,75422.0,101134.0,36.8
171,Los Angeles,La Puente,29,7.6,7.7,79.1,83.0,29,7.6,7.9,79.1,61.6,29,7.6,6.3,79.1,52.8,29,7.6,5.5,79.1,55.9,29,7.6,4.8,79.1,42.2,29,7.6,6.4,79.1,59.3,28,7.6,6.4,79.1,48.2,39816,19879,19937,31.5,30.4,32.6,4.21,4.34,2974,11423,26356,7086,5109,3666,50.10,28.70,39816,38360,19658,558,430,3356,84,990,1244,71,201,468,298,42,12,5,18,7,14316,39773,9451,5367,13929,7898,7852,3063,3174,649,35.1,55909.0,81416.0,29.7
172,Riverside,La Quinta,39,10.0,6.3,34.8,18.6,39,10.0,4.7,34.8,14.8,39,10.0,4.1,34.8,14.2,40,10.0,4.6,34.8,15.2,41,10.0,4.4,34.8,14.3,41,10.0,4.5,34.8,14.5,41,10.0,4.6,34.8,15.5,37467,18103,19364,45.6,44.5,46.5,2.52,2.93,1784,8208,28013,13619,10967,7816,51.70,21.90,37467,36244,29489,713,230,1176,105,162,362,131,176,123,117,41,22,7,6,6,4595,37410,14820,8672,9945,7325,2056,753,1917,969,33.9,56529.0,73752.0,20.5
173,Los Angeles,La Verne,33,6.4,5.9,19.3,18.0,33,6.4,5.1,19.3,15.9,33,6.4,4.5,19.3,15.7,33,6.4,4.6,19.3,17.7,33,6.4,4.8,19.3,16.2,33,6.4,4.2,19.3,13.5,34,6.4,4.0,19.3,12.8,31063,14704,16359,42.9,40.9,44.5,2.7,3.16,1356,6605,22924,9578,7309,5257,52.70,21.30,31063,29651,23057,1065,265,2381,289,636,701,215,156,134,250,61,27,14,6,14,2822,30387,11261,6286,9361,5751,2111,715,1368,494,35.1,55909.0,81416.0,29.7
174,Contra Costa,Lafayette,48,4.5,4.6,13.0,12.8,48,4.5,4.1,13.0,11.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,23893,11609,12284,45.2,44.3,46.0,2.58,3.01,1179,5956,17354,7733,5747,3972,51.40,24.90,23893,22893,20232,166,66,2162,226,989,224,248,256,49,170,27,6,6,1,14,240,23794,9223,5871,7273,5810,540,107,887,381,38.6,78756.0,106018.0,39.0
175,Orange,Laguna Beach,40,12.7,10.5,30.3,24.1,40,12.7,8.8,30.3,20.2,40,12.7,7.5,30.3,18.1,40,12.7,7.6,30.3,19.6,40,12.7,7.4,30.3,17.5,40,12.7,7.2,30.3,16.7,41,12.7,7.1,30.3,16.3,22723,11398,11325,48.3,48.4,48.2,2.09,2.72,747,3648,18560,8453,6283,4163,49.80,16.10,22723,22060,20645,178,61,811,99,233,127,129,73,73,77,15,7,2,1,5,350,22634,10821,4715,4684,3448,567,137,1847,867,36.4,75422.0,101134.0,36.8
176,Orange,Laguna Hills,42,5.8,5.2,11.2,9.5,42,5.8,4.2,11.2,7.9,43,5.8,3.3,11.2,6.7,43,5.8,3.5,11.2,7.3,43,5.8,3.6,11.2,6.9,44,5.8,3.4,11.2,6.4,46,5.8,3.5,11.2,7.1,30344,14821,15523,40.8,39.1,42.5,2.86,3.25,1563,6762,22413,8180,5864,3890,51.20,22.30,30344,28923,22045,420,101,3829,385,700,1106,331,397,534,376,58,12,18,5,23,2470,29975,10469,6278,9108,6065,2037,546,2083,546,36.4,75422.0,101134.0,36.8
177,Orange,Laguna Niguel,35,6.6,4.9,29.8,20.7,36,6.6,4.2,29.8,17.6,36,6.6,3.7,29.8,16.2,36,6.6,3.6,29.8,16.7,36,6.6,3.3,29.8,14.5,36,6.6,3.1,29.8,13.7,36,6.6,3.3,29.8,13.5,62979,30518,32461,42.8,41.7,43.7,2.59,3.06,3241,14216,46613,17431,12340,8197,51.50,22.60,62979,60186,50625,777,219,5459,488,1442,1125,779,573,520,532,87,31,9,17,30,3019,62731,24232,14077,18693,13440,2646,615,3083,1231,36.4,75422.0,101134.0,36.8
178,Orange,Laguna Woods,29,3.9,3.7,16.8,15.8,29,3.9,4.6,16.8,20.3,29,3.9,3.9,16.8,17.7,29,3.9,4.3,16.8,17.8,29,3.9,4.9,16.8,19.0,29,3.9,4.5,16.8,19.0,31,3.9,3.7,16.8,12.8,16192,5755,10437,77.0,76.4,77.4,1.42,2.07,11,48,16126,15299,14340,12874,64.50,0.30,16192,15991,14133,110,24,1624,68,509,273,185,503,31,55,10,5,4,0,1,90,16025,11302,3278,592,19,286,27,567,248,36.4,75422.0,101134.0,36.8
179,Riverside,Lake Elsinore,39,5.3,5.5,21.8,24.0,39,5.3,4.6,23.3,21.5,39,5.3,4.5,23.3,22.8,39,5.3,4.4,23.3,25.3,39,5.3,4.2,23.3,22.1,39,5.3,3.8,23.3,20.1,39,5.3,4.1,23.3,21.4,51821,25965,25856,29.8,29.3,30.3,3.48,3.79,4748,16990,32415,7081,4736,2965,49.90,32.80,51821,48632,31067,2738,483,2996,153,267,1272,118,270,427,489,174,47,22,71,34,11174,51389,14788,8735,19178,14503,5410,2049,3278,1308,33.9,56529.0,73752.0,20.5
180,Orange,Lake Forest,38,10.6,6.8,24.2,14.0,38,10.6,5.8,24.2,12.2,38,10.6,4.9,24.2,11.0,38,10.6,4.9,24.2,11.4,39,10.6,4.6,24.2,10.3,42,10.6,4.5,24.2,9.9,49,10.6,4.4,24.2,9.6,77264,38375,38889,37.2,35.8,38.6,2.93,3.3,4834,19115,55084,16052,11174,7091,50.30,24.70,77264,73593,54341,1295,384,10115,1610,1680,2625,764,827,1617,992,191,59,43,46,43,7267,76749,26224,15603,24223,17116,5378,1577,5321,1418,36.4,75422.0,101134.0,36.8
181,Lake,Lakeport,35,6.1,6.2,11.1,11.0,35,6.1,6.5,11.1,11.4,35,6.1,4.6,11.1,8.2,35,6.1,4.2,11.1,8.7,34,6.1,3.7,11.1,6.7,34,6.1,3.4,11.1,6.1,34,6.1,3.1,11.1,5.3,4753,2262,2491,44.2,41.2,46.8,2.31,2.93,291,1031,3560,1652,1288,953,52.40,21.70,4753,4566,3932,46,147,99,13,25,42,1,2,7,9,5,2,0,1,2,337,4616,2002,803,1204,896,259,100,348,193,45.1,36548.0,51573.0,16.2
182,,Lake-Unincorporated,37,3.4,4.1,17.5,20.2,37,3.4,3.8,17.5,19.4,37,3.4,3.5,17.5,19.1,37,3.4,3.3,17.5,20.8,35,3.4,3.4,17.5,19.6,36,3.4,3.1,17.5,17.0,35,3.4,3.6,17.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Los Angeles,Lakewood,45,4.8,4.1,20.2,17.1,45,4.8,3.7,20.2,15.8,45,4.8,3.1,20.2,15.0,45,4.8,2.9,20.2,15.2,45,4.8,3.3,20.2,15.6,45,4.8,2.8,20.2,13.1,46,4.8,2.7,20.2,13.2,80048,38856,41192,37.5,36.0,38.8,3.01,3.41,4857,19476,57067,18320,13062,9086,51.50,24.30,80048,75465,44820,6973,564,13115,509,1161,6504,571,1177,947,2246,744,93,148,403,100,9249,79939,26543,14711,26256,16487,8182,2677,4247,1545,35.1,55909.0,81416.0,29.7
